file,offset,length,encoding,text,context_hex
kigyo.dat,1101,4,shift_jis,9603,00 00 00 00 00 00 00 04 39 36 30 33 00 00 00 00 00 00 00 00
kigyo.dat,1156,4,shift_jis,9703,00 00 00 00 00 00 00 04 39 37 30 33 00 00 00 00 00 00 00 00
kigyo.dat,1211,4,shift_jis,9703,00 00 00 00 00 00 00 00 39 37 30 33 00 00 00 00 00 00 00 00
kigyo.dat,1266,4,shift_jis,9503,00 00 00 00 00 00 00 04 39 35 30 33 00 00 00 00 00 00 00 00
kigyo.dat,1321,4,shift_jis,9603,00 00 00 00 00 00 00 04 39 36 30 33 00 00 00 00 00 00 00 00
kigyo.dat,1376,4,shift_jis,9703,00 00 00 00 00 00 00 04 39 37 30 33 00 00 00 00 00 00 00 00
kigyo.dat,1431,4,shift_jis,9509,00 00 00 00 00 00 00 04 39 35 30 39 00 00 00 00 00 00 00 00
kigyo.dat,1486,4,shift_jis,9609,00 00 00 00 00 00 00 04 39 36 30 39 00 00 00 00 00 00 00 00
kigyo.dat,1541,4,shift_jis,9709,00 00 00 00 00 00 00 04 39 37 30 39 00 00 00 00 00 00 00 00
kigyo.dat,1759,4,shift_jis,1503,00 00 00 00 00 00 00 04 31 35 30 33 00 00 00 00 00 00 00 00
kigyo.dat,1814,4,shift_jis,1603,00 00 00 00 00 00 00 04 31 36 30 33 00 00 00 AA 3B 00 00 DC
kigyo.dat,1869,4,shift_jis,1703,00 00 00 00 00 00 00 04 31 37 30 33 00 00 00 7B 3E 00 00 27
kigyo.dat,1924,4,shift_jis,1803,00 00 00 00 00 00 00 04 31 38 30 33 00 00 00 DD 42 00 00 AE
kigyo.dat,1979,4,shift_jis,1903,00 00 00 00 00 00 00 04 31 39 30 33 00 00 00 00 00 00 00 00
kigyo.dat,2089,4,shift_jis,1503,00 00 00 00 00 00 00 04 31 35 30 33 00 00 00 00 00 00 00 00
kigyo.dat,2144,4,shift_jis,1603,00 00 00 00 00 00 00 04 31 36 30 33 00 00 00 DE 4C 00 00 08
kigyo.dat,2199,4,shift_jis,1703,00 00 00 00 00 00 00 04 31 37 30 33 00 00 00 F9 44 00 00 92
kigyo.dat,2254,4,shift_jis,1803,00 00 00 00 00 00 00 04 31 38 30 33 00 00 00 DD 42 00 00 AE
kigyo.dat,2290,6,shift_jis,2016/0,50 00 00 00 00 00 00 06 32 30 31 36 2F 30 00 00 00 00 00 00 00 00
kigyo.dat,2309,4,shift_jis,1903,00 00 00 00 00 00 00 04 31 39 30 33 00 00 00 8C 3C 00 00 DC
kigyo.dat,2345,6,shift_jis,2016/0,00 00 00 00 00 00 00 06 32 30 31 36 2F 30 00 00 00 00 00 00 00 00
kigyo.dat,2419,50,shift_jis,-nネックス、日本ゼニスパイプ、羽田コンクリート工業,00 00 00 00 00 00 00 01 2D 6E 83 6C 83 62 83 4E 83 58 81 41 93 FA 96 7B 83 5B 83 6A 83 58 83 70 83 43 83 76 81 41 89 48 93 63 83 52 83 93 83 4E 83 8A 81 5B 83 67 8D 48 8B C6 15 05 02 C9 97 97 6D 81
kigyo.dat,2472,11,shift_jis,ﾉ覧m　　　@,67 8D 48 8B C6 15 05 02 C9 97 97 6D 81 40 81 40 81 40 40 81 00 00 00 00 00 00 00
kigyo.dat,2527,6,shift_jis,070201,44 05 00 00 00 00 00 06 30 37 30 32 30 31 88 00 00 00 00 11 00 00
kigyo.dat,2582,4,shift_jis,2203,1B 00 00 00 00 00 00 04 32 32 30 33 00 00 00 00 00 00 00 00
kigyo.dat,2637,4,shift_jis,2303,00 00 00 00 00 00 00 04 32 33 30 33 00 00 00 00 00 00 00 00
kigyo.dat,2692,4,shift_jis,2403,00 00 00 00 00 00 00 04 32 34 30 33 00 00 00 00 00 00 00 00
kigyo.dat,2747,4,shift_jis,2503,00 00 00 00 00 00 00 04 32 35 30 33 00 00 00 00 00 00 00 00
kigyo.dat,2802,4,shift_jis,2603,00 00 00 00 00 00 00 04 32 36 30 33 00 00 00 00 00 00 00 00
kigyo.dat,2857,4,shift_jis,2603,00 00 00 00 00 00 00 00 32 36 30 33 00 01 00 00 00 00 00 00
kigyo.dat,2912,4,shift_jis,2203,00 00 00 00 00 00 00 04 32 32 30 33 00 00 00 00 00 00 00 F8
kigyo.dat,2967,4,shift_jis,2303,00 00 00 00 00 00 00 04 32 33 30 33 00 00 00 00 00 00 00 A9
kigyo.dat,3022,4,shift_jis,2403,00 00 00 00 00 00 00 04 32 34 30 33 00 00 00 E4 FD 03 00 66
kigyo.dat,3077,4,shift_jis,2503,00 00 00 00 00 00 00 04 32 35 30 33 00 00 00 59 9E 04 00 47
kigyo.dat,3132,4,shift_jis,2603,00 00 00 00 00 00 00 04 32 36 30 33 00 00 00 10 09 05 00 5C
kigyo.dat,3168,6,shift_jis,260206,00 00 00 00 00 00 00 06 32 36 30 32 30 36 00 00 00 00 00 00 00 00
kigyo.dat,3241,51,shift_jis,2水産品の貿易、加工、買い付け主力。すしネタに強み。,00 00 00 00 00 00 00 00 32 90 85 8E 59 95 69 82 CC 96 66 88 D5 81 41 89 C1 8D 48 81 41 94 83 82 A2 95 74 82 AF 8E E5 97 CD 81 42 82 B7 82 B5 83 6C 83 5E 82 C9 8B AD 82 DD 81 42 19 05 02 C9 97 97 6D 81
